No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,image_001.png,648,84,7.71,7.71,manifest,1,,bitmap,True,True,5.1,Ultra-wide,1160x150,1160x430
2,image_002.png,648,436,1.49,1.49,manifest,1,,bitmap,True,True,24.5,Standard landscape,812x546,328x600
